date,home_team,away_team,home_goals,away_goals
2019-01-09,Strasbourg,Monaco,2,2
2019-01-09,Marseille,St Etienne,1,0
2019-01-09,Rennes,Nice,1,2
2019-01-09,Reims,Lille,2,0
2019-01-11,Dijon,Paris SG,2,1
2019-01-12,Nantes,Toulouse,2,1
2019-01-12,Rennes,St Etienne,2,1
2019-02-11,Metz,Montpellier,2,2
2019-02-11,Amiens,Brest,1,0
2019-02-11,Angers,Strasbourg,1,0
2019-02-11,Toulouse,Lyon,2,3
2019-02-11,Marseille,Lille,2,1
2019-03-11,Bordeaux,Nantes,2,0
2019-03-11,St Etienne,Monaco,1,0
2019-03-11,Nice,Reims,2,0
2019-03-12,Lyon,Lille,0,1
2019-03-12,Brest,Strasbourg,5,0
2019-03-12,Bordeaux,Nimes,6,0
2019-03-12,Angers,Marseille,0,2
2019-04-10,Amiens,Marseille,3,1
2019-04-12,Paris SG,Nantes,2,0
2019-04-12,Toulouse,Monaco,1,2
2019-04-12,Dijon,Montpellier,2,2
2019-04-12,St Etienne,Nice,4,1
2019-04-12,Metz,Rennes,0,1
2019-05-10,Nantes,Nice,1,0
2019-05-10,Toulouse,Bordeaux,1,3
2019-05-10,Montpellier,Monaco,3,1
2019-05-10,Dijon,Strasbourg,1,0
2019-05-10,Brest,Metz,2,0
2019-05-10,Paris SG,Angers,4,0
2019-06-10,Rennes,Reims,0,1
2019-06-10,Lille,Nimes,2,2
2019-06-10,St Etienne,Lyon,1,0
2019-06-12,Nimes,Lyon,0,4
2019-06-12,Lille,Brest,1,0
2019-07-12,Nice,Metz,4,1
2019-07-12,Monaco,Amiens,3,0
2019-07-12,Rennes,Angers,2,1
2019-07-12,Montpellier,Paris SG,1,3
2019-07-12,Strasbourg,Toulouse,4,2
2019-08-11,Nice,Bordeaux,1,1
2019-08-12,Marseille,Bordeaux,3,1
2019-08-12,Nantes,Dijon,1,0
2019-08-12,Reims,St Etienne,3,1
2019-09-08,Monaco,Lyon,0,3
2019-09-11,Lille,Metz,0,0
