date,home_team,away_team,home_goals,away_goals,home_form_points_avg,home_form_goals_scored_avg,home_form_goals_conceded_avg,away_form_points_avg,away_form_goals_scored_avg,away_form_goals_conceded_avg,home_returning_from_break,away_returning_from_break,home_days_since_last_match,away_days_since_last_match,h2h_matches_found,h2h_home_win_rate,dc_home_win,dc_draw,dc_away_win,dc_over_2_5,dc_under_2_5
2019-01-09,Strasbourg,Monaco,2,2,,,,,,,0,0,,,0,,,,,,
2019-01-09,Marseille,St Etienne,1,0,,,,,,,0,0,,,0,,,,,,
2019-01-09,Rennes,Nice,1,2,,,,,,,0,0,,,0,,,,,,
2019-01-09,Reims,Lille,2,0,,,,,,,0,0,,,0,,,,,,
2019-01-11,Dijon,Paris SG,2,1,,,,,,,0,0,,,0,,,,,,
2019-01-12,Nantes,Toulouse,2,1,,,,,,,0,0,,,0,,,,,,
2019-01-12,Rennes,St Etienne,2,1,0.0,1.0,2.0,0.0,0.0,1.0,0,0,3.0,3.0,0,,,,,,
2019-02-11,Metz,Montpellier,2,2,,,,,,,0,0,,,0,,,,,,
2019-02-11,Amiens,Brest,1,0,,,,,,,0,0,,,0,,,,,,
2019-02-11,Angers,Strasbourg,1,0,,,,1.0,2.0,2.0,0,0,,33.0,0,,,,,,
2019-02-11,Toulouse,Lyon,2,3,0.0,1.0,2.0,,,,0,0,30.0,,0,,,,,,
2019-02-11,Marseille,Lille,2,1,3.0,1.0,0.0,0.0,0.0,2.0,0,0,33.0,33.0,0,,,,,,
2019-03-11,Bordeaux,Nantes,2,0,,,,3.0,2.0,1.0,0,0,,58.0,0,,,,,,
2019-03-11,St Etienne,Monaco,1,0,0.0,0.5,1.5,1.0,2.0,2.0,0,0,58.0,61.0,0,,,,,,
2019-03-11,Nice,Reims,2,0,3.0,2.0,1.0,3.0,2.0,0.0,0,0,61.0,61.0,0,,,,,,
2019-03-12,Lyon,Lille,0,1,3.0,3.0,2.0,0.0,0.5,2.0,0,0,29.0,29.0,0,,,,,,
2019-03-12,Brest,Strasbourg,5,0,0.0,0.0,1.0,0.5,1.0,1.5,0,0,29.0,29.0,0,,,,,,
2019-03-12,Bordeaux,Nimes,6,0,3.0,2.0,0.0,,,,0,0,1.0,,0,,,,,,
